Internal ID,Date,Document Number,Name,Zip Code,Terms,Item,Memo,Quantity,PO Unit Cost,Amount,Last Purchase Price,Location,Expense/COGS Account,Part Class,Status,Fulfilled/Received (Line Level),Expected Receipt Date
512867,7/11/2021,MAR-8575-PO,GUARDIAN WORLDWIDE LLC,77041,Net 30,MP18-CT,"CASTING FOR BEARING HOUSING OBAF, (FIXED BEARING) DWG# 172AB075B // 303 SS ",50,115.29,5764.50,109.80,New Albany (CM),Cost of Goods Sold-Mfg,PUMP - COMPONENT PARTS,Pending Receipt,No,6/3/2022
512867,7/11/2021,MAR-8575-PO,GUARDIAN WORLDWIDE LLC,77041,Net 30,MP18-CT,"CASTING FOR BEARING HOUSING OBAF, (FIXED BEARING) DWG# 172AB075B // 303 SS ",50,115.29,5764.50,109.80,New Albany (CM),Cost of Goods Sold-Mfg,PUMP - COMPONENT PARTS,Pending Receipt,No,6/3/2022
512867,7/11/2021,MAR-8575-PO,GUARDIAN WORLDWIDE LLC,77041,Net 30,MP18-CT,"CASTING FOR BEARING HOUSING OBAF, (FIXED BEARING) DWG# 172AB075B // 303 SS ",50,115.29,5764.50,109.80,New Albany (CM),Cost of Goods Sold-Mfg,PUMP - COMPONENT PARTS,Pending Receipt,No,4/8/2022
512867,7/11/2021,MAR-8575-PO,GUARDIAN WORLDWIDE LLC,77041,Net 30,MP18-CT,"CASTING FOR BEARING HOUSING OBAF, (FIXED BEARING) DWG# 172AB075B // 303 SS ",50,115.29,5764.50,109.80,New Albany (CM),Cost of Goods Sold-Mfg,PUMP - COMPONENT PARTS,Pending Receipt,No,4/8/2022
502813,6/3/2021,MAR-8362-PO,,53066,Net 30,MS26A-10-MB,"METAL BELLOWS ASSEMBLY, DWG # 046AD140B",35,350.00,12250.00,350.00,New Albany (CM),Cost of Goods Sold-Resale Itms,PUMP - COMPONENT PARTS,Pending Receipt,No,3/14/2022
488891,4/13/2021,MAR-8109-PO,ADAMS MAGNETIC PRODUCTS CO.,60126,Net 30,D17,"INTERNAL MAGNET; NEW STD; NEO3820  1/2"" DIA. x 1"" NICKEL PLATE; MAGNETIZED THROUGH 1"" LENGTH TO SATURATION ; GRADE 38SH ; 50R0040, Standard DS-39",250,5.79,1447.50,5.79,New Albany (CM),Cost of Goods Sold-Mfg,30DP - DIPSTICK COMPONENT,Partially Received,No,2/21/2022
512867,7/11/2021,MAR-8575-PO,GUARDIAN WORLDWIDE LLC,77041,Net 30,MP18-CT,"CASTING FOR BEARING HOUSING OBAF, (FIXED BEARING) DWG# 172AB075B // 303 SS ",50,115.29,5764.50,109.80,New Albany (CM),Cost of Goods Sold-Mfg,PUMP - COMPONENT PARTS,Pending Receipt,No,2/11/2022
512867,7/11/2021,MAR-8575-PO,GUARDIAN WORLDWIDE LLC,77041,Net 30,MP18-CT,"CASTING FOR BEARING HOUSING OBAF, (FIXED BEARING) DWG# 172AB075B // 303 SS ",50,115.29,5764.50,109.80,New Albany (CM),Cost of Goods Sold-Mfg,PUMP - COMPONENT PARTS,Pending Receipt,No,2/11/2022
517936,7/29/2021,MAR-8672-PO,BLUE CHIP ENGINEERED PRODUCTS,41018,Net 30,SP4D,"Wing Nut, brass1/2-13 RIGHT HAND THREAD",500,1.57,785.00,1.46,New Albany (CM),Cost of Goods Sold-Mfg,30SP - Mar Scupper Plug,Pending Receipt,No,2/1/2022
495696,5/4/2021,MAR-8216-PO,GUARDIAN WORLDWIDE LLC,77041,Net 30,EQ2,"TOP RETAINER FOR 2.5"" EQUATE VALVE, DWG 167P085B",50,15.57,778.50,17.07,New Albany (CM),Cost of Goods Sold-Mfg,30EQ - Mar Equate Valve,Pending Receipt,No,1/24/2022
495696,5/4/2021,MAR-8216-PO,GUARDIAN WORLDWIDE LLC,77041,Net 30,EQ2,"TOP RETAINER FOR 2.5"" EQUATE VALVE, DWG 167P085B",50,15.57,778.50,17.07,New Albany (CM),Cost of Goods Sold-Mfg,30EQ - Mar Equate Valve,Pending Receipt,No,1/24/2022
495696,5/4/2021,MAR-8216-PO,GUARDIAN WORLDWIDE LLC,77041,Net 30,EQ3,"MAIN BODY FOR 2.5"" EQUATE VALVE, DWG 176P075B",50,69.08,3454.00,72.56,New Albany (CM),Cost of Goods Sold-Mfg,30EQ - Mar Equate Valve,Pending Receipt,No,1/24/2022
495696,5/4/2021,MAR-8216-PO,GUARDIAN WORLDWIDE LLC,77041,Net 30,EQ3,"MAIN BODY FOR 2.5"" EQUATE VALVE, DWG 176P075B",50,69.08,3454.00,72.56,New Albany (CM),Cost of Goods Sold-Mfg,30EQ - Mar Equate Valve,Pending Receipt,No,1/24/2022
495696,5/4/2021,MAR-8216-PO,GUARDIAN WORLDWIDE LLC,77041,Net 30,EQ4,"FOLLOWER FOR 2.5"" EQUATE VALVE, DWG#175P085B",50,31.11,1555.50,32.30,New Albany (CM),Cost of Goods Sold-Mfg,30EQ - Mar Equate Valve,Pending Receipt,No,1/24/2022
495696,5/4/2021,MAR-8216-PO,GUARDIAN WORLDWIDE LLC,77041,Net 30,EQ4,"FOLLOWER FOR 2.5"" EQUATE VALVE, DWG#175P085B",50,31.11,1555.50,32.30,New Albany (CM),Cost of Goods Sold-Mfg,30EQ - Mar Equate Valve,Pending Receipt,No,1/24/2022
507289,6/18/2021,MAR-8458-PO,METALLIZED CARBON CORPORATION,10562,Net 45,DWP10-12,"CARBON SHAFT BUSHING, DWG 320Y140C // REV.2",50,109.34,5467.00,102.65,New Albany (CM),Cost of Goods Sold-Mfg,PUMP - COMPONENT PARTS,Pending Receipt,No,1/24/2022
499563,5/19/2021,MAR-8300-PO,GST RACING SEALS,SO14 67L,Due at Shipment,MS7A-LS-12,"VITON SEAL, PTFE LIP COATED , FOR 12"" ( MS-2250 ) MECHANICAL SEAL ASS. DWG 037AC170B",80,25.25,2020.00,25.25,New Albany (CM),Cost of Goods Sold-Mfg,PUMP - COMPONENT PARTS,Pending Billing/Partially Received,No,1/14/2022
441464,11/2/2020,MAR-7342-PO,"BARKER ENTERPRISES, INC",60538,Net 30,L40,"NEW LFA SWITCH; ITEM PRX+10001, COMPLETE ASSEMBLY HERMETIC 70",200,34.06,6812.00,34.06,New Albany (CM),Cost of Goods Sold-Mfg,30LV - Level Alert Components,Partially Received,No,1/10/2022
441464,11/2/2020,MAR-7342-PO,"BARKER ENTERPRISES, INC",60538,Net 30,L40,"NEW LFA SWITCH; ITEM PRX+10001, COMPLETE ASSEMBLY HERMETIC 70",200,34.06,6812.00,34.06,New Albany (CM),Cost of Goods Sold-Mfg,30LV - Level Alert Components,Partially Received,No,1/10/2022
417066,8/24/2020,MAR-6948-PO,GUARDIAN WORLDWIDE LLC,77041,Net 30,MP18-CT,"CASTING FOR BEARING HOUSING OBAF, (FIXED BEARING) DWG# 172AB075B // 303 SS ",50,109.80,5490.00,109.80,New Albany (CM),Cost of Goods Sold-Mfg,PUMP - COMPONENT PARTS,Pending Billing/Partially Received,No,1/7/2022
417066,8/24/2020,MAR-6948-PO,GUARDIAN WORLDWIDE LLC,77041,Net 30,MP18-CT,"CASTING FOR BEARING HOUSING OBAF, (FIXED BEARING) DWG# 172AB075B // 303 SS ",50,109.80,5490.00,109.80,New Albany (CM),Cost of Goods Sold-Mfg,PUMP - COMPONENT PARTS,Pending Billing/Partially Received,No,1/7/2022
502813,6/3/2021,MAR-8362-PO,,53066,Net 30,MS26A-10-MB,"METAL BELLOWS ASSEMBLY, DWG # 046AD140B",30,350.00,10500.00,350.00,New Albany (CM),Cost of Goods Sold-Resale Itms,PUMP - COMPONENT PARTS,Pending Receipt,No,1/3/2022
495255,5/3/2021,LV-4135-PO,"AMERAFLEX SEALING PRODUCTS INC,",77536,Net 30,LV-S28C,"SOR0050-0087-06	 1/2""x 7/8""x 1/ 16"" Sealon ring washer 4 per SGM1",200,.45,90.00,.45,Texas (LV),Cost of Goods Sold-Mfg,LVRP - Law Valve Resale Products,Fully Billed,Yes,12/31/2021
516829,7/26/2021,RP-400-PO,HOWMET FASTENING SYSTEMS (ARCONIC),60677-7003,Net 15,3LC-2CU8,"1/4"" HUCK COLLARS  (TRINITY 063-38141), RAILHOODS TK1",10000,.139832,1398.32,.121,New Albany (RL),Cost of Goods Sold-Mfg,40HK - RAIL HOOD HARDWARE,Pending Receipt,No,12/30/2021
